Nome;Idade;Peso (kg);Altura (m)
Kevin Jesus;03/07/1936;103.67;2.07
Lucas Fernandes;28/05/1965;147.49;1.89
Ana Clara Alves;26/05/1987;142.94;1.93
Juan Lima;02/07/1960;118.59;1.89
Lav°nia Mendes;05/05/1943;98.72;2
Valentina Gonáalves;07/06/1950;58.48;1.45
Ana Luiza Correia;17/05/1968;135.85;1.4
Alice Gomes;30/06/1953;99.1;1.87
Sra. Agatha Pires;19/11/1987;132.38;1.85
Jo∆o Miguel Cavalcanti;10/01/2022;139.35;1.92
Diogo Ribeiro;29/01/1927;127.86;1.91
Marcelo Nascimento;23/12/1926;69.72;1.6
Davi Azevedo;23/08/1975;109.41;1.51
Luiza Duarte;13/06/2022;128.25;1.8
Nina Mendes;08/04/1925;122.06;1.59
Diogo Vieira;05/01/2024;118.91;1.67
Elisa Barbosa;26/07/1964;58.9;1.4
Srta. Maria Luiza Ramos;17/03/1966;89.37;1.79
Breno Arag∆o;22/10/1944;59.8;1.48
Thiago Freitas;01/06/2022;103.64;1.71
Mariane Nunes;07/10/2003;145.06;1.73
Isaac da Cunha;15/05/2005;57.51;1.53
Gustavo da Mata;05/12/1920;61.6;1.48
Daniel da Costa;02/07/1975;55.24;1.91
Fernanda Correia;13/11/2013;75.33;1.77
Let°cia Sales;27/02/2023;68.69;1.86
Bernardo Costa;10/02/1937;45.91;1.66
Ryan Nascimento;05/12/1994;65.21;1.95
Eduarda Novaes;12/12/1996;149.31;1.73
Srta. Alice Teixeira;14/11/1936;72.53;1.51
Miguel Porto;26/10/2001;51.21;2.09
Isis Cunha;21/03/1944;126.2;1.89
Antìnio da Paz;19/10/1928;147.33;1.95
Vit¢ria Martins;24/10/1940;45.73;2.06
Maria Sophia Fernandes;09/09/1999;124.11;1.73
Sra. Ana Cavalcanti;26/07/1970;117.65;1.47
Bryan Martins;27/12/1950;135.59;1.46
Clarice Pires;09/11/1907;147.32;1.92
Isis Cunha;25/03/1999;91.96;1.62
Davi Lucas Pires;14/12/1986;66.99;1.94
Milena Farias;29/10/1914;94.62;1.93
Vinicius da Conceiá∆o;15/09/1905;88.05;2.08
Mariana Lopes;24/12/1984;144.91;1.77
Srta. Rafaela da Paz;06/02/1997;44.3;1.99
La°s Rocha;11/10/1966;41.96;1.81
Maria Sales;11/01/1945;88;2.07
Bryan Pinto;27/08/2015;146.55;1.76
Luana Costa;15/03/1948;146.27;1.94
Sarah Teixeira;10/11/1944;80.71;1.89
Pedro Lucas da Paz;14/02/2007;109.26;1.43
Fernanda Ramos;29/07/1970;94.57;1.53
Bernardo Almeida;28/08/1900;125.32;1.9
Maria Clara Barbosa;08/03/1978;61.62;1.63
Nicolas Vieira;09/08/2019;71.22;1.44
Guilherme Cavalcanti;05/01/1911;102.42;1.89
Jo∆o Miguel Silva;07/03/1923;103.07;1.53
Helo°sa Nunes;09/09/1995;79.7;1.61
Caroline Farias;02/09/1936;146.04;1.71
Giovanna da Cruz;17/08/1979;56.05;1.55
Al°cia Sales;12/03/1997;56.95;1.82
Yuri Viana;06/09/1954;137.49;1.8
Rodrigo Porto;25/02/1973;107.28;1.41
Paulo Dias;29/05/2000;90.76;1.58
Gabrielly Costa;09/01/1928;54.65;2.06
Luiz Ot†vio Pereira;08/11/1924;55.62;1.92
Dra. Fernanda Azevedo;24/12/2007;148.35;1.67
Bernardo Caldeira;11/01/2004;48.83;1.91
Lucas Carvalho;09/08/1919;108.76;1.76
Daniel Freitas;23/09/1949;41.34;1.58
Ana Clara Monteiro;04/06/2012;65.22;1.7
Kaique Almeida;24/04/2001;46.42;2.04
Sra. Agatha Lopes;01/09/2005;88.56;1.84
Erick da Paz;10/11/1932;47.42;1.75
Lara da Rocha;15/10/1911;68.64;1.95
Theo Santos;20/05/2011;103.57;1.88
Bryan da Conceiá∆o;06/07/1911;68.37;1.78
Nicole Arag∆o;18/06/2013;56.35;1.53
Ana Carolina Melo;14/01/1962;86.32;1.47
Arthur Melo;03/10/1962;81.23;1.97
Nicole Melo;28/04/1942;52.37;1.92
Lorena da Rosa;03/12/2022;131.57;1.67
Helena Alves;31/10/1962;43.79;1.53
Olivia Fernandes;02/01/1956;49.3;1.67
Jo∆o Gabriel Costa;24/10/1975;97.62;1.81
Ryan Caldeira;23/10/1908;68.38;1.75
Marcela Cunha;20/10/1973;120.85;1.55
Alexia Rezende;20/12/1992;128.86;1.45
Elisa Pinto;08/09/1996;87.83;1.46
Sofia Dias;04/12/1992;44;2.04
Diego Fogaáa;11/10/2010;103.08;1.81
Luna Nunes;24/05/2014;144.96;2
Lucca Oliveira;11/02/1902;120.7;1.71
Maria Fernanda Nascimento;06/06/1985;48.53;1.56
Levi da Costa;20/05/1955;95.53;1.56
Jo∆o Cunha;11/05/1967;135.81;1.52
Jo∆o Lucas Cardoso;09/03/1939;91.03;1.48
AndrÇ Teixeira;05/09/1973;64.97;1.87
Valentina Vieira;13/09/2021;108.44;1.89
Gabrielly Dias;14/10/1931;70.13;1.61
Gabrielly da Rocha;02/07/1997;89.47;1.72
Amanda Cavalcanti;23/10/1935;51.52;1.79
Theo Sales;22/05/1957;97.68;1.53
Sra. Nina Fogaáa;26/02/2006;137.1;1.77
Yago Cardoso;01/07/1989;81.87;1.61
L°via Alves;14/03/1997;149.48;1.97
Srta. Ana Clara Fogaáa;08/09/2006;144.5;2.09
Marcelo Moura;18/09/1984;57.25;2.06
Rodrigo Arag∆o;27/03/1973;140.17;1.65
Daniela Azevedo;30/09/2006;114.73;2.09
Murilo Barros;06/12/1946;114.36;1.93
Sarah Campos;16/10/1970;73.95;1.59
Isaac Ara£jo;06/12/1959;71.46;1.73
Pedro Miguel Cardoso;14/09/1957;97.82;1.4
Alice Cardoso;20/12/1966;46.66;1.7
Lucas Rezende;11/04/1936;80.89;1.53
Helo°sa Peixoto;01/02/2012;50.8;1.86
Sra. Emanuelly Moraes;17/12/1927;87.67;2.06
Gabriela Viana;26/06/1981;92.62;1.52
Emanuella Rodrigues;14/09/1912;70.37;1.82
Olivia Cardoso;12/05/1942;131.04;1.98
Augusto Duarte;08/10/1917;65.23;1.94
Valentina Duarte;28/08/1992;109.87;1.6
Pedro Lucas Pires;11/10/1914;113.79;1.93
Ana L°via Viana;03/11/2008;77.57;2.09
Lucas Ferreira;29/07/1966;68.25;1.72
Luna Mendes;31/05/1954;70.9;1.96
Srta. Ana Beatriz Cavalcanti;18/12/1980;107.12;1.49
Vitor Hugo da Costa;08/11/2004;55.48;1.73
Dra. Sarah Dias;06/05/2009;117.67;1.72
AndrÇ da Mata;17/05/1907;42.55;1.51
Paulo Teixeira;18/03/1952;92.93;1.45
Helena Oliveira;14/05/1986;145.01;1.82
Samuel Almeida;29/11/1962;125.39;2.04
Maria Clara da Cruz;20/06/1926;101.16;1.64
Clarice Nogueira;02/02/1983;92.65;1.56
Lorenzo Jesus;13/10/1985;90.47;1.58
Lorenzo Melo;13/08/1989;100.81;1.6
Dra. Giovanna Farias;01/05/1937;75.77;1.41
Clarice Moreira;14/09/1900;97.64;1.57
Samuel Barros;01/01/1910;125.47;2
Maità Jesus;17/05/2024;76.14;1.77
Vitor Gabriel Rodrigues;12/03/1982;141.29;1.98
Marcela Moreira;04/08/1951;127.12;2.07
Juliana Azevedo;11/04/2017;70.74;1.6
Brenda Barros;28/04/2003;63.72;1.58
Isabel da Mota;24/08/1945;107.67;1.61
Sarah Nunes;22/11/1920;78.54;1.51
Jo∆o Vitor da Mata;23/06/1917;84.89;1.41
Cau∆ Barros;24/07/1950;111.75;1.53
Let°cia Pires;10/09/1909;117.43;2.04
Sophie Ribeiro;25/06/1958;51.96;1.91
Guilherme Porto;09/01/1905;112;1.6
Jo∆o Felipe Jesus;06/08/1945;121.17;1.76
Sra. Ana Clara Monteiro;24/10/1984;55.48;1.76
Dra. Gabriela Freitas;06/02/1934;100.68;1.86
Vit¢ria da Conceiá∆o;18/04/1961;79.91;1.79
Matheus Cavalcanti;10/05/1915;110.16;1.83
Maria Cec°lia Pires;23/09/1902;120.54;1.44
Ana Julia Cardoso;18/04/1931;85.84;1.54
Jo∆o Felipe Moura;18/10/1949;95.41;1.71
Carlos Eduardo Pires;01/09/1977;58.54;1.52
Elisa Cunha;08/06/1944;116.4;1.4
Cau∆ Peixoto;30/10/1968;149.57;1.88
Caio Teixeira;18/06/1913;95.97;1.55
Marina Ramos;11/06/2011;93.96;1.84
Luana Monteiro;19/08/1958;74.7;1.99
Augusto da Mota;11/06/2023;91.72;1.84
Calebe Martins;01/01/1916;45.27;2.09
Maria Alice da Costa;01/01/1970;84.29;1.9
Bryan Nogueira;19/07/1962;92.07;1.56
Alexandre da Cruz;16/10/1969;47.01;1.42
Alana Silva;19/09/2008;107.86;1.44
Sabrina Cardoso;18/07/1997;146.16;1.83
Sofia Rodrigues;04/04/1926;90.69;1.84
Benjamin Nunes;05/02/1942;79.67;1.79
Nat†lia Pinto;17/05/1946;76.05;1.49
Murilo Fernandes;19/04/1919;63;1.93
Augusto Nunes;24/08/1924;103.66;1.84
Heitor Ferreira;30/09/1954;130.42;1.4
Pedro Miguel Jesus;06/07/2005;95.86;1.7
Vitor Fernandes;11/02/1940;49.58;1.9
Pietro Gomes;14/03/1924;70.06;1.71
Cec°lia da Paz;03/12/1910;111.31;2.06
Isabella Fernandes;29/12/1986;56.97;1.65
Sarah Rezende;03/07/2005;46.4;1.73
Vitor Gabriel da Mota;01/12/1997;118.28;1.8
Leonardo Gonáalves;25/08/1978;60.96;1.44
Ana Carolina da Cunha;19/02/1958;141.5;1.42
Rafael Correia;28/06/2023;142.66;1.78
Vitor Silva;18/10/1923;78.87;1.41
Nathan Moura;09/08/1991;135.2;1.53
Maria Alice Gonáalves;21/08/1976;97.97;1.98
Ben°cio Ribeiro;20/09/1978;138.45;1.42
Fernanda Martins;02/11/2020;130.4;1.46
Maria Luiza Melo;31/08/2024;90.26;1.77
Vitor Gabriel Nunes;21/05/2020;66.11;1.45
Dra. Luana das Neves;08/11/1939;67.15;1.91
Srta. Maria Alice Lima;18/03/1904;77.34;1.8
AndrÇ da Mata;14/07/1945;100.65;1.61
Luiz Miguel da Rosa;04/02/1919;148.94;1.74
Milena Monteiro;14/05/1911;133.23;1.85
Emanuel Rodrigues;30/11/1952;84.61;1.66
Al°cia da Rocha;23/10/1930;83.19;2.01
Maria Alice Pires;04/02/2012;108.95;1.49
Gustavo da Conceiá∆o;22/04/1910;106.48;1.73
Vitor da Paz;14/04/1920;111.56;2.06
Luiz Ot†vio Freitas;17/04/1969;71.16;1.53
Raquel Moraes;06/08/1902;82.73;1.87
Fernando Barbosa;26/03/1907;74.66;2.07
Francisco Ribeiro;14/01/1962;87.18;1.75
Fernando Pinto;31/10/1960;41.12;1.75
Samuel Cardoso;04/04/2006;40.76;1.73
Thomas Castro;20/10/1923;49.23;1.56
Caio Oliveira;09/01/2022;135.22;1.67
Vinicius Silveira;23/07/1961;118.66;1.86
Marcos Vinicius Silva;07/06/1918;74.32;2.09
Leandro Cunha;19/01/2012;99.13;2
Heitor Fernandes;13/07/1906;84.4;1.58
Davi Luiz Costa;25/08/1913;41.8;1.63
Amanda Martins;04/06/2016;117.98;1.71
Brenda da Cruz;26/02/1962;115.21;1.42
Gustavo Duarte;18/11/1948;105.49;1.9
Guilherme Correia;19/11/1901;118.63;1.46
Marina Nogueira;23/09/1928;92.12;1.56
Rebeca Costela;25/10/1960;46.64;1.99
Calebe Nogueira;26/05/1921;120.38;1.82
Ana Beatriz Fogaáa;24/07/2003;54.89;1.76
Paulo Cardoso;05/04/2008;62.54;1.86
B†rbara Ribeiro;03/08/1993;102.73;1.55
Eloah Carvalho;14/05/1935;84.88;1.99
Ben°cio Oliveira;11/07/2021;120.2;1.55
Antìnio Fogaáa;27/09/1928;94.82;2.06
Rodrigo da Cunha;04/04/1982;84.09;1.4
Heitor Nunes;19/06/2019;135.17;1.51
Theo Arag∆o;19/11/1995;70.6;1.79
Ana Vit¢ria Melo;15/03/1946;133.63;2.08
Sofia Fernandes;20/12/2023;92.54;1.5
Dra. Maria Vit¢ria Freitas;09/07/2015;103.52;1.79
Lucas Fogaáa;09/08/2010;111.27;1.91
Mariane Souza;13/08/1965;127.29;2.04
Thomas Costa;27/12/1905;87.17;1.63
Jo∆o Gabriel Arag∆o;19/02/1992;57.88;1.51
Daniela Pinto;18/09/1921;72.84;1.49
Luiz Felipe Cardoso;03/02/1924;123.46;2.08
Cec°lia Gomes;24/10/1969;42.8;1.76
Milena Correia;17/07/1912;46.43;2
Jo∆o Vitor da Paz;11/08/1901;146.35;1.53
Paulo Dias;01/11/1929;58.98;1.88
Joana Silveira;03/05/2012;143.43;1.75
Dra. Marina Alves;15/08/1984;120.76;2.06
Srta. Kamilly Duarte;29/12/1904;66.89;1.65
Ana Carolina Nascimento;20/01/1985;136.63;1.85
Lucca das Neves;14/04/1905;143.88;2.1
Jo∆o Lucas Novaes;07/05/1979;48.44;1.71
Sra. Emanuella Rocha;04/01/2016;100.93;1.93
Maità Jesus;06/06/1940;80.76;1.96
Pedro Henrique Rocha;19/01/1998;98.19;2.04
Pedro Henrique Lima;02/04/1906;63.28;1.92
Miguel da Luz;08/11/1999;117.3;1.64
Nicole Dias;23/10/1916;49.36;2.03
Ana Carolina Cavalcanti;11/08/2016;93.87;1.74
Emanuella Lopes;04/10/1968;97.83;1.89
Rebeca Moraes;10/06/2018;108.74;1.69
Joaquim Mendes;05/04/1965;78.17;1.55
Thales da Rocha;24/09/1963;135.3;2.06
Gustavo Henrique Pires;30/10/1980;51.18;1.48
Lucas Gabriel Cavalcanti;25/05/1998;99.6;1.72
Luiz Henrique Silva;10/08/1946;102.83;1.51
Davi Lucca Melo;25/11/1981;146.98;1.43
Pedro Lucas da Conceiá∆o;15/02/1903;109.07;1.74
Nathan Cavalcanti;26/09/2013;126.53;1.96
Isabella Nogueira;26/09/1998;80.32;1.99
Bianca Cardoso;01/04/1944;98.15;2.05
Ryan Carvalho;30/08/2022;130.46;1.56
Dra. Daniela Carvalho;03/12/1933;138.49;1.83
Sophie da Mata;07/11/2006;135.22;1.94
Mirella Costa;31/08/1948;107.96;1.56
Juliana Vieira;05/02/1912;53.16;1.51
Maria Clara Campos;03/09/1958;137.36;1.63
Marcos Vinicius Almeida;14/04/2018;112.56;1.5
Isabelly Caldeira;14/04/1936;105.97;1.65
Enzo Jesus;26/06/2024;135.25;1.93
Henrique Teixeira;31/10/1994;117.19;2.01
Milena Rodrigues;16/05/1942;86.96;2.08
Srta. Ana Luiza Nunes;26/05/1927;145.94;2.07
Kamilly Pinto;15/02/1933;106.78;1.99
Brenda Castro;18/04/1985;61.92;1.96
Diego Duarte;04/06/1930;97.63;1.85
Bruno Cardoso;31/07/1918;77.45;1.65
Ana Julia Moraes;10/08/1979;67.75;2.04
Gabriel Barros;06/08/2006;138.66;1.45
Pedro Lucas Correia;04/04/1988;105.42;1.54
AndrÇ da Conceiá∆o;04/12/1983;115.51;1.71
Evelyn Rodrigues;16/07/2020;47.16;1.76
Maria Santos;10/07/1963;72.56;1.51
Thomas Oliveira;31/08/1978;120.43;1.48
Murilo Carvalho;31/03/1976;134.5;1.55
Erick Lopes;30/01/1961;47.06;2.06
Eduardo da Rosa;18/06/2024;81.83;1.44
Guilherme Castro;02/05/1922;102.45;2
Ana J£lia Gomes;17/07/2020;75.03;1.92
Jo∆o Miguel Santos;04/03/1943;67.5;1.91
Maysa da Rosa;25/05/1950;83.01;1.97
Let°cia Cardoso;04/06/1941;118.13;1.86
Bruna Nogueira;14/12/1943;118.36;1.65
Gustavo Henrique Nascimento;17/11/1975;56.6;1.67
Maria Vit¢ria Gonáalves;16/03/1990;84.77;1.46
Rafaela Barros;29/04/1922;76.78;1.95
Daniel Porto;05/12/1942;53.63;1.97
Isabelly Lopes;29/11/1990;112.8;1.73
Kevin Gonáalves;19/05/1988;54.1;1.81
Levi Lopes;26/02/1974;42.7;1.59
Maria Cec°lia Jesus;21/02/1931;105.83;1.91
Isis Ribeiro;07/06/1911;115.68;1.67
Dra. Maria Fernanda da Luz;13/05/1956;93.63;1.59
Vicente Lopes;20/05/1978;54.81;1.87
Dra. Lav°nia Pires;23/07/1908;56;1.93
Luiz Gustavo da Costa;07/08/1959;129.05;1.45
Srta. Maria da Luz;09/05/1915;85.79;1.87
Thiago Moraes;23/03/1957;44.68;1.8
Ben°cio Alves;06/06/2015;113.98;1.56
Luiza Silva;13/09/1936;70.48;1.75
La°s Vieira;12/05/1954;147.36;1.87
Kaique da Rocha;26/02/1928;129.76;1.53
Mirella Lopes;13/02/2003;103.5;1.53
Samuel Arag∆o;03/01/1963;49.36;1.46
Thales Duarte;03/04/1996;62.01;1.43
Davi Luiz da Rocha;05/06/1997;95.83;1.8
Yasmin Cavalcanti;28/09/1905;64.38;1.63
Maria Eduarda Duarte;05/05/1906;63.2;1.83
Maria Julia Carvalho;26/01/2007;40.8;2.01
Bernardo Nunes;09/03/2014;81.96;2.04
Ana Beatriz Campos;25/11/1908;133.3;2.01
Sra. Nicole Moreira;28/09/1988;70.16;1.52
Nathan Almeida;21/05/1964;110.84;1.89
Kamilly Monteiro;05/07/2018;108.05;1.88
Maria Cec°lia Azevedo;11/03/1968;106.06;1.66
Ana L°via Viana;12/05/1907;88.52;1.95
Davi Lucas Pinto;14/10/1901;149.85;1.69
Lucca da Cunha;18/11/2022;62.05;1.42
Esther Pires;21/07/2019;53.9;1.49
Ryan Carvalho;02/02/2006;97.56;1.5
Fernanda Gonáalves;11/07/1993;112.8;1.47
Ana Luiza Peixoto;21/07/1971;124.38;1.89
AndrÇ Ramos;27/10/1988;130.47;1.47
Davi Luiz Fogaáa;16/04/1907;41;1.71
Luiz Felipe da Cruz;16/10/1918;85.44;1.45
Bruna Mendes;10/02/1949;61.21;1.42
Gustavo Henrique Lopes;13/06/1921;122.97;1.93
Srta. Lorena Rodrigues;18/03/1988;97.08;1.9
Kaique Moraes;03/12/1920;59.76;1.55
Maria Vit¢ria Farias;17/01/1946;43.83;1.81
Stephany Duarte;08/05/1930;61.25;2.1
Matheus Santos;09/08/1951;126.67;1.51
Valentina Ferreira;04/04/1962;101.37;1.9
Sra. Mariane Ramos;20/06/2013;121.75;1.42
Manuela Moraes;08/02/2004;71.36;1.65
Isis da Rosa;30/03/1994;117.11;1.76
Rafaela Rocha;01/02/1976;41.33;1.53
Luiz Gustavo Pires;06/03/1995;68.29;1.64
Valentina Cunha;18/01/1968;58.37;1.72
Enzo Gabriel Ferreira;20/06/1922;89.31;1.56
Ana Luiza Correia;21/04/1971;136.78;1.6
Joaquim Rezende;08/05/1919;64.29;1.45
Vit¢ria Porto;17/12/1956;50.71;1.61
Sra. Isabel Farias;16/10/2016;134.31;1.67
Sabrina Duarte;28/05/1965;120.13;2.01
Dra. Carolina Gonáalves;13/03/1907;114.9;1.41
Yago da Costa;19/08/1931;65.65;1.72
Valentina Moreira;24/06/1969;50.7;2.07
Srta. L°via Martins;30/10/2007;113.35;1.76
Vitor Hugo da Cruz;24/01/1979;144.03;1.73
Giovanna Costa;22/06/1939;108.25;1.92
Ana L°via Vieira;02/04/1925;84.43;1.94
Diogo Pereira;15/05/2015;78.28;1.57
Jo∆o Lucas Rezende;05/06/1938;143.74;2.03
Camila Jesus;05/11/1934;118.96;2.05
Noah Pinto;29/06/1927;109.04;1.99
Ana Luiza Pereira;18/01/1989;120.52;1.5
Lav°nia Gonáalves;11/12/2000;105.74;1.87
Augusto Vieira;14/01/1947;104.22;1.63
La°s Carvalho;22/07/2018;112.84;1.43
Ot†vio Peixoto;24/09/1982;54.82;1.52
Srta. Gabrielly Martins;23/02/1944;47.14;1.56
Emanuelly da Rosa;21/01/1919;70.66;2.08
Felipe Azevedo;11/09/2001;136.9;1.98
Sophia Novaes;04/12/1935;51.01;1.42
Mariane Moura;08/12/1991;68.48;1.86
Emilly Caldeira;04/02/2024;119.71;1.82
Srta. La°s Gonáalves;30/06/2020;103.82;1.93
Luigi Cunha;02/11/1988;139.01;1.73
Yuri Jesus;04/11/1969;94.63;2.05
Nat†lia Rocha;28/09/1971;115.29;1.93
Antìnio Carvalho;28/11/1960;47.85;2.02
Emanuel Fernandes;24/10/2023;110.15;1.83
Jo∆o Miguel Peixoto;29/05/1984;42.65;1.48
Carolina Fogaáa;13/12/1937;42.32;1.54
Maria Eduarda Carvalho;26/09/1981;85.41;1.87
Diego Silva;18/04/1949;123.49;1.9
Sra. Giovanna Mendes;03/12/1953;41.45;1.7
Lucas Gabriel Moura;13/01/1907;94.41;1.48
Brenda Cardoso;31/07/1989;79.66;1.48
AndrÇ Ribeiro;07/12/2005;120.51;2.05
Maria Alice Sales;28/11/1926;51.46;1.42
Nat†lia Souza;11/01/1940;60.81;1.47
Let°cia Mendes;01/11/1937;107.53;1.54
Pedro Henrique da Luz;31/12/1994;66.66;1.6
Sra. Maria Cec°lia Pinto;25/12/1901;47.03;1.89
Henrique Oliveira;23/05/2017;82.52;1.54
Bruno Pinto;18/06/1937;78.04;1.46
Antìnio Cavalcanti;05/08/1905;116.25;1.47
Vit¢ria da Cruz;05/10/1964;133.7;2.02
Raquel Monteiro;13/10/2016;144.47;1.97
Lorena Azevedo;21/03/1960;45.54;1.85
Luiza Gomes;03/04/1977;66.73;1.54
Ian Pereira;02/02/1908;95.88;1.63
Ana Lopes;10/03/1956;73.21;1.55
Nathan Fogaáa;27/07/2021;106.29;1.97
Lucas Gabriel Nunes;07/09/1914;74.63;1.51
Raquel Azevedo;02/09/1969;46.63;1.5
Ryan Lopes;22/07/1961;46.38;2.02
Alexandre Dias;02/01/1986;51.42;1.69
Ben°cio Santos;10/08/2011;127.83;1.84
Alexandre Jesus;03/10/1947;78.08;1.55
Isaac da Cruz;05/02/2006;132.37;1.56
Nathan Lopes;17/07/2020;68.02;2.04
Isaac Cunha;26/03/2009;59.36;1.85
Joaquim da Cunha;11/06/1965;45.44;1.64
Joaquim Teixeira;13/11/2012;109.08;1.68
Alana Ramos;16/12/1925;131.15;1.89
Caroline Mendes;14/05/1914;103.33;1.66
Stella Fernandes;02/12/1933;107.4;1.52
Joana Pires;05/07/2024;120.88;1.56
Davi Luiz da Cruz;27/03/1944;56.67;1.98
Sofia Rodrigues;25/04/1957;64.99;1.52
Maria Alice Sales;18/05/1952;134.24;1.68
Luana Gomes;09/12/1976;59.97;1.69
Enzo Gabriel Costa;04/07/1929;61.38;1.69
Calebe Monteiro;02/04/1929;118.19;1.94
Pedro Rodrigues;08/07/1960;92.72;1.65
Vicente Barbosa;27/11/1938;61.39;1.47
Raul Campos;06/10/2012;65.09;1.57
Renan Ara£jo;24/02/2003;141.92;1.53
Bernardo Sales;20/04/1959;126.88;2.07
Ana Sophia Jesus;06/07/1976;67.58;1.41
Sabrina Campos;26/02/1989;146.5;1.66
Stephany da Paz;11/11/1931;150;2.09
Pedro Vieira;07/05/1956;46.02;1.77
Sra. Ana Laura Campos;11/01/1939;87.91;1.7
Nicolas da Mata;19/03/1981;143.46;1.97
Fernanda Rocha;22/11/2001;111.99;1.91
Jo∆o Gabriel Ribeiro;14/03/2000;99.23;1.82
Ana Luiza Fogaáa;18/02/1938;72.42;1.74
Amanda Ferreira;22/03/2015;85.52;2
Dra. Isabelly Teixeira;03/05/1991;97.53;1.53
Clara Porto;19/05/1945;87.87;1.84
Luiz Henrique Cavalcanti;07/08/1917;71.34;1.42
Heitor Ferreira;14/02/1989;129.18;1.81
Helena Freitas;01/07/1927;60.77;1.9
Nathan Martins;03/01/1929;141.6;1.51
Rodrigo Monteiro;08/04/1930;65.08;1.92
Sofia Barros;31/01/1930;58.28;1.69
Brenda Souza;11/07/2014;59.85;1.62
Olivia Fogaáa;19/05/1924;128.33;1.94
Agatha Melo;07/05/1985;114.55;1.71
Mariane Cardoso;30/04/1998;113.14;1.63
Bruna da Cunha;11/02/2010;124.94;1.76
Kamilly Moreira;18/03/1951;69.58;1.58
Luiz Fernando Silva;26/02/1974;76.09;1.43
Antìnio Silva;06/12/1941;88.87;1.41
Maità Lima;03/05/1953;113.51;1.61
Gustavo Henrique Arag∆o;05/05/1988;119.47;1.41
Luiza Viana;16/07/1990;73.05;1.63
Pedro Henrique Monteiro;26/12/1933;79.67;1.94
Yuri Nogueira;11/06/2002;42.35;1.46
Jo∆o Freitas;03/06/1986;85.25;1.64
Jo∆o Vitor da Mata;05/06/2024;45.75;1.92
Ana Clara Carvalho;09/03/1991;137.48;1.83
Davi Lucca da Cruz;15/08/1975;66.39;2.05
Igor Porto;04/06/1947;80.65;1.9
La°s Monteiro;09/05/1987;90.37;1.96
Heitor Moreira;02/07/1916;83.95;2.09
Lav°nia Almeida;19/10/1916;136.45;1.8
Brenda Martins;03/06/2004;143.87;1.47
Clarice da Costa;12/07/1990;102.99;1.98
Ana Vit¢ria Moreira;09/03/1981;110.08;1.68
Rafaela Duarte;22/10/1973;141.87;1.47
L°via da Luz;07/06/2018;116.3;1.92
Maria Fernandes;09/06/1902;65.9;1.51
Nathan Arag∆o;19/07/1952;61.85;1.53
Manuela Gonáalves;04/06/1951;126.96;1.96
Laura Barbosa;08/03/2018;115.13;1.65
Laura Moraes;13/12/1960;133.24;2.05
Fernando Ramos;06/06/1910;54.4;1.91
Rodrigo Silveira;30/05/1971;139.65;2.05
Marcela Moura;09/05/1936;112.41;1.86
La°s Ferreira;07/09/1965;61.79;1.44
Sofia Fernandes;17/07/1913;83.44;1.67
Nathan Pires;10/01/1996;122.74;1.47
Nicolas Vieira;02/12/1911;129.72;1.47
Sra. Melissa da Cunha;01/05/1902;115.83;1.8
Daniel Correia;10/10/1932;135.74;1.42
Matheus Arag∆o;14/12/2003;113.7;1.67
Erick Duarte;29/05/1995;67.86;1.97
Nicolas Correia;22/12/1963;112.83;1.67
Breno Nunes;19/04/1928;60.63;1.7
Nat†lia Duarte;18/07/1977;125.38;1.89
Maria Alice Viana;05/11/1961;54.77;1.56
Luiz Henrique Novaes;19/05/1973;130.08;1.54
Raquel Dias;08/09/1990;103.46;1.66
Diogo das Neves;21/04/1945;111.6;1.6
Diego Freitas;10/04/1967;139.22;2.06
Pedro das Neves;02/10/1960;138.98;2.09
Thales Carvalho;25/08/1929;115;1.71
Caio Gonáalves;24/01/1929;77.05;1.93
Thomas Pinto;24/02/1965;126.78;1.87
Rebeca Novaes;27/05/1961;54.18;2.03
Pedro Henrique Carvalho;29/07/2010;75.36;2.06
Luigi Novaes;28/01/1918;104.72;2.08
Srta. Rebeca Rezende;06/12/2004;42.08;1.53
Marcela Mendes;21/01/1932;118.39;2.05
Enzo Gabriel Martins;28/07/1993;123.06;1.79
Carlos Eduardo Ribeiro;18/12/1985;49.86;1.56
Luiz Henrique Correia;24/06/1995;114.13;1.97
Dra. Julia Ribeiro;24/01/1917;79.47;1.93
Valentina Duarte;30/12/2000;71.05;1.82
Ana Rezende;24/10/2003;136.74;2.09
Caio Moura;12/03/1917;72.82;1.64
Yago da Luz;22/08/1909;142.23;1.52
Leonardo da Cruz;26/03/1995;82.78;1.55
L°via Pinto;08/06/1963;81.4;1.59
Yago Cardoso;29/09/1960;49.74;2.08
Mirella Correia;06/09/1904;86.73;2
Arthur Fernandes;02/01/1948;60.1;1.51
Cau∆ Gomes;31/05/1936;120.17;2.08
Juan da Rocha;25/09/1915;98.33;1.49
Nat†lia da Cruz;02/08/2024;70.74;1.77
Gustavo Rezende;02/02/1998;78.39;1.67
Leandro Dias;08/04/1902;126.48;1.5
Ana Sophia da Rosa;25/04/1901;69.96;1.49
Enrico da Cruz;08/02/1968;144.54;1.56
Rafael Ribeiro;13/04/1910;147.33;1.9
Enzo Gabriel Barros;27/01/1942;96.21;2.08
Thales Campos;03/10/1992;85.73;1.94
Davi Lucas da Mata;03/05/1955;69.25;2.03
